1495332083
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.9   14.8   95.5 1080.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013DCd0
    0.9   14.8   95.4 1078.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B4d0
    0.9   14.8   95.7 1082.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013EDd0
    0.9   14.8   95.5 1083.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001388d0
    0.9   14.8   95.6 1083.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013C6d0
    0.9   14.8   94.9 1077.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013BCd0
    0.9   14.8   95.6 1082.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013CFd0
    0.9   14.8   95.3 1083.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001400d0
    0.9   14.8   95.0 1081.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013B6d0
    0.9   14.8   95.2 1077.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001383d0
    0.9   14.8   95.3 1086.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013CDd0
    0.9   14.8   95.5 1084.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001398d0
    0.9   14.8   95.4 1077.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000139Ed0
    0.9   14.7   95.7 1077.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013AAd0
    0.9   14.8   95.9 1080.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E0d0
    0.9   14.7   94.6 1074.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000139Cd0
    0.9   14.8   95.5 1084.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013AFd0
    0.9   14.8   94.6 1075.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F6d0
    0.9   14.8   94.9 1083.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D3d0
    0.9   14.7   94.8 1076.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013ECd0
    0.9   14.8   95.4 1080.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D7d0
    0.9   14.8   95.3 1079.8  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000138Bd0
    0.9   14.8   95.4 1080.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A4d0
    0.9   14.8   95.7 1084.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013FBd0
    0.9   14.8   95.4 1082.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000138Ed0
    0.9   14.8   95.4 1085.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013DEd0
    0.9   14.8   96.4 1079.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001402d0
    0.9   14.8   95.4 1084.3  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E8d0
    0.9   14.8   94.9 1084.9  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A2d0
    0.9   14.8   95.9 1086.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E5d0
    0.9   14.8   96.1 1082.4  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013DAd0
    0.9   14.8   95.5 1084.5  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001387d0
    0.9   14.8   94.8 1081.7  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001390d0
    0.9   14.8   95.0 1082.0  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001393d0
    0.9   14.8   95.8 1080.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC4800001404d0
    0.9   14.7   95.1 1077.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC480000139Ad0
    0.9   14.7   94.9 1077.2  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013D1d0
    0.9   14.8   95.5 1081.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013F0d0
    0.9   14.7   95.4 1077.6  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013E3d0
    0.9   14.7   95.4 1077.1  0.0  0.1    0.0    3.4   0   5 c0t60060E8007DC48000030DC48000013A9d0
1495332084
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0    1.0    0.0    4.0  0.0  0.0    0.0    7.0   0   1 c0t5000CCA0546345D8d0
    0.0    1.0    0.0    4.0  0.0  0.0    0.0    8.4   0   1 c0t5000CCA054645EACd0
1495332085
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0   69.2    0.0 1255.7  0.0  0.4    0.0    5.3   0  33 c0t5000CCA0546345D8d0
    0.0   69.2    0.0 1255.7  0.0  0.4    0.0    5.5   0  34 c0t5000CCA054645EACd0
1495332086
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
1495332087
                    extended device statistics              
    r/s    w/s   kr/s   kw/s wait actv wsvc_t asvc_t  %w  %b device
    0.0   79.0    0.0  528.7  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC480000107Ed0
    0.0   15.0    0.0  200.4  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC480000107Fd0
    0.0  246.9    0.0  786.5  0.0  0.0    0.0    0.2   0   5 c0t60060E8007DC48000030DC48000004FBd0
    0.0   48.0    0.0 1154.3  0.0  0.0    0.0    0.2   0   1 c0t60060E8007DC48000030DC48000004EAd0
    0.0  105.9    0.0  759.6  0.0  0.0    0.0    0.2   0   2 c0t60060E8007DC48000030DC48000004F1d0
    0.0  128.9    0.0  939.0  0.0  0.0    0.0    0.2   0   2 c0t60060E8007DC48000030DC48000004FCd0
    0.0  255.8    0.0  908.0  0.0  0.0    0.0    0.2   0   5 c0t60060E8007DC48000030DC48000004F9d0
    0.0   21.0    0.0  115.4  0.0  0.0    0.0    0.2   0   0 c0t60060E8007DC48000030DC4800001407d0
    0.0   25.0    0.0 1692.0  0.0  0.0    0.0    0.3   0   1 c0t60060E8007DC48000030DC4800001395d0
